*******************************************************************************
 Revised: May 04, 2025            MMS-2 Spacecraft / (Earth)            -140483
                      https://www.nasa.gov/mission_pages/mms/index.html
 
 MMS 2
  Magnetospheric Multiscale (MMS) mission: the second of four identically
  instrumented space physics spacecraft studying the Earth's magnetosphere.
 
  Octagonal in shape; 2.5-m wide, 1.2-m high, spinning at 3 rpm during science
  operations. Eight deployable booms: four 60-meter wire booms, two 12.5 meter
  booms, two 5-m booms.
 
  Mass: 1250 kg; 318 W power generation; S-band communications.
 
  NOTE: The spacecraft may be maneuvered frequently. Therefore, the JSpOC
   TLE-based trajectory provided here may at times depart from the actual
   trajectory. This can happen because TLEs do not model thruster firings;
   the TLE trajectory solutions must be reinitialized after each event.
 
  Launched: 2015-Mar-13 02:44 UTC (Atlas V, Cape Canaveral, USA)
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  4 18:28:43 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: MMS-2 (spacecraft) (-140483)    {source: MMS-2}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Oct-17 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Nov-18 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250502.p250729
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-MAY-02. PREDICTS-> 2025-JUL-28
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457312.500000000, A.D. 2015-Oct-17 00:00:00.0000,  8.158613336118813E-01,  7.725962604611574E+03,  2.891812948604940E+01,  8.164828366734991E+00,  5.796754510577065E+01,  2.457312494651164E+06,  4.209011423645888E-03,  1.945150012674932E+00,  3.165521597150455E+01,  4.195730726281663E+04,  7.618865192102168E+04,  8.553077285025860E+04,
2457312.541666667, A.D. 2015-Oct-17 01:00:00.0000,  8.164192785333054E-01,  7.726541545875766E+03,  2.892612041107082E+01,  8.158577048060693E+00,  5.798871331741654E+01,  2.457312494662163E+06,  4.189424894350621E-03,  1.701404680562639E+01,  1.178436843927995E+02,  4.208797897810597E+04,  7.644941641033618E+04,  8.593064897414793E+04,
2457312.583333333, A.D. 2015-Oct-17 02:00:00.0000,  8.164507472469619E-01,  7.727370479920179E+03,  2.892548434317941E+01,  8.159098276719272E+00,  5.799838590648400E+01,  2.457312494670359E+06,  4.187673813957998E-03,  3.207959543609800E+01,  1.369976142771475E+02,  4.209971091692325E+04,  7.647205135392632E+04,  8.596658096914773E+04,
2457312.625000000, A.D. 2015-Oct-17 03:00:00.0000,  8.164533350106977E-01,  7.728147649482414E+03,  2.892440031077838E+01,  8.156379065257456E+00,  5.800820469398494E+01,  2.457312494677495E+06,  4.186953593124054E-03,  4.714453001122010E+01,  1.468790744718302E+02,  4.210453864652262E+04,  7.648092964356282E+04,  8.598136855187581E+04,
2457312.666666667, A.D. 2015-Oct-17 04:00:00.0000,  8.164490026698101E-01,  7.728824069081501E+03,  2.892338693180632E+01,  8.152456543617731E+00,  5.801775038036902E+01,  2.457312494684213E+06,  4.186552169095436E-03,  6.220916746244648E+01,  1.535059267224486E+02,  4.210723004233050E+04,  7.648563601557950E+04,  8.598961280298176E+04,
2457312.708333333, A.D. 2015-Oct-17 05:00:00.0000,  8.164431775618348E-01,  7.729383372056190E+03,  2.892246106189137E+01,  8.147942978374388E+00,  5.802699598182716E+01,  2.457312494690912E+06,  4.186297039353548E-03,  7.727362288781748E+01,  1.585461734598193E+02,  4.210894081400867E+04,  7.648849825596114E+04,  8.599485335507667E+04,
2457312.750000000, A.D. 2015-Oct-17 06:00:00.0000,  8.164379071295452E-01,  7.729818420485009E+03,  2.892160375461377E+01,  8.143077510636443E+00,  5.803599683694594E+01,  2.457312494697902E+06,  4.186123912159917E-03,  9.233794508045592E+01,  1.626783240697411E+02,  4.211010181682865E+04,  7.649038521317228E+04,  8.599840987847171E+04,
2457312.791666667, A.D. 2015-Oct-17 07:00:00.0000,  8.164341505085603E-01,  7.730125168996690E+03,  2.892079883027566E+01,  8.137973344006523E+00,  5.804481967499161E+01,  2.457312494705474E+06,  4.186003239935386E-03,  1.074021565036825E+02,  1.662421046057414E+02,  4.211091110036330E+04,  7.649169703172991E+04,  8.600088900207273E+04,
