*******************************************************************************
 Revised: May 05, 2025            MMS-1 Spacecraft / (Earth)            -140482
                    https://www.nasa.gov/mission_pages/mms/index.html
 
 MMS 1
  Magnetospheric Multiscale (MMS) mission: the first of four identically
  instrumented space physics spacecraft studying the Earth's magnetosphere.
 
  Octagonal in shape; 2.5-m wide, 1.2-m high, spinning at 3 rpm during science
  operations. Eight deployable booms: four 60-meter wire booms, two 12.5 meter
  booms, two 5-m booms.
 
  Mass: 1250 kg; 318 W power generation; S-band communications.
 
  NOTE: The spacecraft may be maneuvered frequently. Therefore, the JSpOC
   TLE-based trajectory provided here may at times depart from the actual
   trajectory. This can happen because TLEs do not model thruster firings;
   the TLE trajectory solutions must be reinitialized after each event.
 
  Launched: 2015-Mar-13 02:44 UTC (Atlas V, Cape Canaveral, USA)
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May  5 23:46:37 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: MMS-1 (spacecraft) (-140482)    {source: MMS-1}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Nov-12 00:00:00.0000 TDB
Stop  time      : A.D. 2015-Nov-20 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg
Calendar mode   : Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250505.p250731
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-MAY-05. PREDICTS-> 2025-JUL-30
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457338.500000000, A.D. 2015-Nov-12 00:00:00.0000,  8.184190708962579E-01,  7.645719565783766E+03,  2.887892996454230E+01,  5.202254948887118E+00,  6.282876170818400E+01, -1.067943349749600E+04,  4.186675690625822E-03,  4.471132461362163E+01,  1.458276553778558E+02,  4.210640183152474E+04,  7.656708409726570E+04,  8.598707580958758E+04,
2457338.503472222, A.D. 2015-Nov-12 00:05:00.0000,  8.184193314969657E-01,  7.645731427441357E+03,  2.887883853342478E+01,  5.201956567771217E+00,  6.282941043354349E+01, -1.097938285987762E+04,  4.186656934854707E-03,  4.596690939073156E+01,  1.465060190804920E+02,  4.210652758618736E+04,  7.656732374493337E+04,  8.598746102240484E+04,
2457338.506944444, A.D. 2015-Nov-12 00:10:00.0000,  8.184195818843349E-01,  7.645742777028356E+03,  2.887874859501516E+01,  5.201650769980795E+00,  6.283006230912314E+01, -1.127933223508420E+04,  4.186638952995727E-03,  4.722249169918385E+01,  1.471622732549712E+02,  4.210664815276558E+04,  7.656755352850280E+04,  8.598783034357523E+04,
2457338.510416667, A.D. 2015-Nov-12 00:15:00.0000,  8.184198232372905E-01,  7.645753624940811E+03,  2.887866012327253E+01,  5.201338091568653E+00,  6.283071704322145E+01, -1.157928161537858E+04,  4.186621695726616E-03,  4.847807163187232E+01,  1.477978386006345E+02,  4.210676386185231E+04,  7.656777409876381E+04,  8.598818478570934E+04,
2457338.513888889, A.D. 2015-Nov-12 00:20:00.0000,  8.184200566176933E-01,  7.645763981169696E+03,  2.887857308842001E+01,  5.201019018210283E+00,  6.283137437468174E+01, -1.187923099338710E+04,  4.186605118107442E-03,  4.973364927609501E+01,  1.484140108436894E+02,  4.210687501467034E+04,  7.656798604817098E+04,  8.598852527145867E+04,
2457338.517361111, A.D. 2015-Nov-12 00:25:00.0000,  8.184202829842313E-01,  7.645773855320165E+03,  2.887848745797922E+01,  5.200693990826965E+00,  6.283203406935678E+01, -1.217918036206743E+04,  4.186589179084406E-03,  5.098922471394880E+01,  1.490119746191912E+02,  4.210698188639754E+04,  7.656818991747491E+04,  8.598885264370049E+04,
2457338.520833333, A.D. 2015-Nov-12 00:30:00.0000,  8.184205032043560E-01,  7.645783256629437E+03,  2.887840319759193E+01,  5.200363410487175E+00,  6.283269591702880E+01, -1.247912971468003E+04,  4.186573841062087E-03,  5.224479802270000E+01,  1.495928155136365E+02,  4.210708472903341E+04,  7.656838620143737E+04,  8.598916767431768E+04,
2457338.524305556, A.D. 2015-Nov-12 00:35:00.0000,  8.184207180645989E-01,  7.645792193983154E+03,  2.887832027167270E+01,  5.200027642690536E+00,  6.283335972871956E+01, -1.277907904476165E+04,  4.186559069533188E-03,  5.350036927512840E+01,  1.501575305490561E+02,  4.210718377388032E+04,  7.656857535377747E+04,  8.598947107179857E+04,
